action_id,action_type,action_timestamp,room_id,user_id
1,skip_song,1687127841000,3,7
2,skip_song,1688195589000,2,17
3,enqueue_song,1696159040000,1,18
4,enqueue_song,1697347581000,1,6
5,leave_room,1699566640000,3,19
6,skip_song,1684650711000,1,18
7,join_room,1704799676000,2,16
8,enqueue_song,1699511110000,3,18
9,leave_room,1693560711000,3,12
10,skip_song,1709960534000,1,6
11,enqueue_song,1706884122000,1,17
12,join_room,1689977907000,2,9
13,skip_song,1702178804000,2,5
14,enqueue_song,1713936142000,3,19
15,enqueue_song,1696036063000,2,18
16,enqueue_song,1685528117000,1,12
17,skip_song,1689771950000,1,19
18,join_room,1703839465000,3,8
19,skip_song,1687706115000,3,7
20,skip_song,1688808624000,1,14
21,skip_song,1701563462000,1,7
22,join_room,1716013141000,3,7
23,skip_song,1706448359000,1,19
24,join_room,1695589890000,1,6
25,leave_room,1693813146000,2,8
26,skip_song,1703550034000,2,18
27,skip_song,1693959225000,2,3
28,join_room,1690692278000,3,16
29,join_room,1706779083000,1,3
30,skip_song,1685163005000,2,7
31,leave_room,1715781410000,2,10
32,skip_song,1699238381000,1,2
33,skip_song,1694744203000,3,2
34,leave_room,1694007771000,1,1
35,enqueue_song,1699469792000,3,3
36,join_room,1705180755000,2,13
37,skip_song,1710829229000,3,16
38,join_room,1709213567000,3,19
39,enqueue_song,1693634859000,2,3
40,skip_song,1689170867000,2,9
41,skip_song,1686466177000,2,16
42,leave_room,1685589885000,3,2
43,leave_room,1702698467000,1,9
44,enqueue_song,1688511718000,2,2
45,join_room,1685637740000,1,2
46,join_room,1690285132000,2,6
47,leave_room,1705413188000,2,11
48,enqueue_song,1704526726000,1,4
49,enqueue_song,1690831384000,2,17
50,leave_room,1685522503000,2,16
51,enqueue_song,1707674153000,2,9
52,enqueue_song,1686934588000,2,12
53,enqueue_song,1704220072000,3,14
54,skip_song,1695115575000,1,13
55,leave_room,1704814238000,1,17
56,leave_room,1688866545000,2,6
57,enqueue_song,1691275336000,1,5
58,join_room,1706084184000,1,17
59,leave_room,1712220451000,2,6
60,skip_song,1698229838000,3,3
61,enqueue_song,1685706838000,3,1
62,enqueue_song,1707756173000,2,19
63,enqueue_song,1693184023000,1,4
64,join_room,1690602492000,1,3
65,join_room,1691690719000,3,13
66,skip_song,1705092799000,3,16
67,enqueue_song,1711331505000,2,6
68,skip_song,1691515615000,1,8
69,skip_song,1692361651000,1,8
70,skip_song,1695272291000,3,10
71,join_room,1699237588000,3,2
72,skip_song,1710467753000,2,15
73,skip_song,1688713844000,1,5
74,enqueue_song,1715020653000,2,18
75,leave_room,1713179252000,2,19
76,join_room,1684880562000,2,2
77,leave_room,1707762376000,2,4
78,skip_song,1699089643000,1,4
79,enqueue_song,1706063784000,2,16
80,leave_room,1715819707000,3,6
81,enqueue_song,1708516290000,1,18
82,leave_room,1711689417000,3,1
83,leave_room,1707194215000,3,14
84,leave_room,1702994407000,1,8
85,enqueue_song,1711724576000,1,12
86,join_room,1711215814000,3,2
87,join_room,1695750448000,1,12
88,skip_song,1705089745000,3,4
89,leave_room,1696897661000,1,6
90,join_room,1700599166000,3,18
91,enqueue_song,1712961031000,3,18
92,skip_song,1688098758000,1,9
93,join_room,1697343592000,2,14
94,leave_room,1696421641000,1,3
95,leave_room,1708589390000,3,18
96,join_room,1700183726000,1,7
97,enqueue_song,1697233094000,2,8
98,skip_song,1687283879000,2,10
99,enqueue_song,1715440349000,1,19
100,skip_song,1709607309000,2,7
101,join_room,1699707735000,1,19
102,enqueue_song,1710647833000,3,12
103,enqueue_song,1693551062000,1,15
104,leave_room,1707065519000,3,7
105,leave_room,1694242037000,2,3
106,join_room,1714700890000,2,19
107,join_room,1695106965000,2,6
108,skip_song,1707014222000,1,16
109,skip_song,1708980604000,2,6
110,join_room,1704070340000,2,19
111,skip_song,1688201384000,1,5
112,leave_room,1686225100000,3,13
113,leave_room,1694690846000,2,11
114,skip_song,1685005949000,2,11
115,skip_song,1692305495000,1,7
116,skip_song,1689279149000,3,13
117,enqueue_song,1704459437000,2,18
118,join_room,1708115603000,3,16
119,join_room,1693389020000,2,12
120,enqueue_song,1685803560000,1,11
121,join_room,1690681873000,2,7
122,skip_song,1685219485000,3,7
123,enqueue_song,1698263968000,2,18
124,enqueue_song,1687632991000,3,2
125,leave_room,1704734487000,2,13
126,leave_room,1688952050000,1,3
127,join_room,1687372988000,2,2
128,leave_room,1687080017000,2,14
129,join_room,1698546654000,3,2
130,enqueue_song,1705096120000,3,9
131,leave_room,1688739955000,3,8
132,enqueue_song,1709363372000,2,16
133,leave_room,1699206887000,3,11
134,join_room,1707926497000,3,19
135,enqueue_song,1702892650000,3,9
136,leave_room,1704528172000,3,15
137,join_room,1713185428000,3,6
138,enqueue_song,1704564771000,3,7
139,enqueue_song,1693922518000,3,19
140,leave_room,1712170889000,1,7
141,leave_room,1695096644000,2,6
142,join_room,1686315119000,1,7
143,enqueue_song,1692941944000,3,15
144,leave_room,1702848535000,3,7
145,join_room,1684697881000,3,3
146,skip_song,1693946576000,2,4
147,leave_room,1684916554000,1,12
148,enqueue_song,1708990224000,2,16
149,skip_song,1705576002000,3,1
150,leave_room,1709326690000,3,13
151,join_room,1692493661000,1,2
152,leave_room,1687109492000,3,15
153,join_room,1701532800000,2,16
154,leave_room,1689433784000,2,14
155,enqueue_song,1693764423000,3,9
156,leave_room,1688607843000,3,8
157,leave_room,1705158159000,2,17
158,join_room,1697343275000,3,13
159,leave_room,1694728352000,3,3
160,join_room,1701344122000,2,11
161,skip_song,1708231785000,3,3
162,join_room,1704861584000,2,18
163,enqueue_song,1685043084000,3,17
164,skip_song,1686502211000,3,1
165,leave_room,1698238883000,1,14
166,enqueue_song,1696568520000,1,4
167,enqueue_song,1700776468000,3,4
168,skip_song,1689969811000,2,16
169,skip_song,1694543325000,1,18
170,join_room,1691561377000,3,11
171,leave_room,1715934059000,2,9
172,enqueue_song,1690510859000,2,5
173,leave_room,1689624886000,2,16
174,enqueue_song,1712538404000,3,12
175,skip_song,1689087614000,2,1
176,leave_room,1711292042000,1,18
177,join_room,1694441820000,2,16
178,skip_song,1692529339000,1,8
179,leave_room,1692317123000,2,17
180,enqueue_song,1699737648000,3,10
181,enqueue_song,1694274549000,2,10
182,join_room,1692907938000,1,14
183,skip_song,1684619552000,2,14
184,join_room,1712619077000,3,13
185,join_room,1702194584000,1,16
186,skip_song,1702361480000,2,2
187,leave_room,1685939921000,2,12
188,leave_room,1700215641000,1,11
189,join_room,1693039551000,1,9
190,skip_song,1715558630000,3,17
191,leave_room,1711751635000,2,18
192,enqueue_song,1696668072000,3,13
193,skip_song,1696158188000,3,6
194,join_room,1707479456000,2,12
195,skip_song,1703193658000,1,2
196,skip_song,1712284999000,2,19
197,enqueue_song,1714538761000,2,12
198,skip_song,1699727429000,1,2
199,leave_room,1698076783000,2,13
200,skip_song,1687555725000,3,8
201,enqueue_song,1703796597000,2,19
202,enqueue_song,1715178382000,2,1
203,skip_song,1700211596000,2,13
204,skip_song,1693729972000,2,2
205,join_room,1690034768000,1,15
206,join_room,1711500525000,3,12
207,join_room,1713170593000,1,14
208,leave_room,1692246353000,1,16
209,enqueue_song,1715393313000,2,16
210,enqueue_song,1707087389000,1,11
211,enqueue_song,1714662321000,2,1
212,leave_room,1702867793000,3,15
213,join_room,1694186015000,2,14
214,skip_song,1702775691000,2,10
215,enqueue_song,1689646154000,2,14
216,join_room,1704048727000,2,6
217,join_room,1687854421000,2,3
218,leave_room,1692910862000,3,17
219,skip_song,1713608357000,3,9
220,skip_song,1699429647000,3,12
221,join_room,1693146924000,1,2
222,join_room,1715271683000,1,10
223,join_room,1695611970000,2,13
224,leave_room,1685551304000,1,9
225,leave_room,1695518048000,2,9
226,leave_room,1705630572000,1,18
227,skip_song,1700178279000,2,19
228,enqueue_song,1696288095000,3,10
229,enqueue_song,1715223031000,3,17
230,skip_song,1714408667000,3,7
231,skip_song,1685720199000,1,2
232,enqueue_song,1700907871000,2,13
233,join_room,1693039533000,2,19
234,leave_room,1710422192000,3,11
235,skip_song,1711831874000,3,2
236,join_room,1702670159000,2,1
237,leave_room,1714059997000,3,15
238,skip_song,1715263047000,3,7
239,join_room,1715315169000,2,15
240,join_room,1688228398000,3,19
241,join_room,1693508258000,3,15
242,skip_song,1700799237000,2,12
243,join_room,1701383863000,3,13
244,skip_song,1700802722000,1,19
245,join_room,1712799504000,2,3
246,join_room,1704864035000,2,3
247,skip_song,1695715149000,2,5
248,join_room,1702184505000,2,16
249,enqueue_song,1698055770000,3,1
250,enqueue_song,1691780368000,1,7
251,skip_song,1686872891000,2,15
252,join_room,1693744354000,1,16
253,join_room,1689943774000,1,4
254,join_room,1696934825000,2,5
255,leave_room,1696544856000,2,17
256,skip_song,1703886342000,1,14
257,join_room,1693672103000,1,13
258,leave_room,1691042365000,1,1
259,join_room,1714926476000,3,1
260,join_room,1710747195000,2,15
261,skip_song,1693345254000,1,1
262,skip_song,1714333903000,1,7
263,enqueue_song,1690167327000,1,18
264,skip_song,1702122612000,3,15
265,join_room,1698026170000,2,6
266,enqueue_song,1708847056000,1,12
267,leave_room,1713961623000,2,6
268,leave_room,1690070325000,3,19
269,enqueue_song,1704828414000,2,2
270,leave_room,1708718072000,2,7
271,leave_room,1689990447000,1,12
272,skip_song,1711428771000,2,12
273,leave_room,1702883357000,1,7
274,leave_room,1708304647000,3,8
275,skip_song,1685686929000,1,11
276,join_room,1699520649000,3,10
277,join_room,1705702515000,1,17
278,skip_song,1713189983000,3,3
279,skip_song,1693078147000,1,16
280,leave_room,1713432363000,1,9
281,skip_song,1693596352000,1,14
282,enqueue_song,1706765252000,1,16
283,enqueue_song,1700209645000,1,11
284,skip_song,1692818983000,3,12
285,skip_song,1688536161000,1,8
286,leave_room,1715824370000,2,10
287,skip_song,1707583171000,3,7
288,skip_song,1710951006000,1,6
289,join_room,1707583244000,3,13
290,enqueue_song,1715909927000,2,3
291,enqueue_song,1710834360000,3,9
292,enqueue_song,1689017969000,1,4
293,join_room,1692659448000,3,5
294,enqueue_song,1704527335000,3,10
295,join_room,1716153067000,2,3
296,enqueue_song,1699029054000,2,17
297,join_room,1709192618000,1,17
298,join_room,1704552777000,3,16
299,enqueue_song,1715706992000,2,17
300,join_room,1705119560000,1,17
301,enqueue_song,1689519056000,3,13
302,leave_room,1711617132000,2,8
303,join_room,1704938190000,3,19
304,leave_room,1704948214000,3,14
305,join_room,1695387974000,1,2
306,skip_song,1713622200000,3,17
307,leave_room,1687494968000,1,17
308,skip_song,1685931806000,3,11
309,leave_room,1687742100000,1,18
310,enqueue_song,1688149113000,3,9
311,leave_room,1691582964000,1,13
312,leave_room,1709817301000,2,1
313,skip_song,1684969600000,3,6
314,join_room,1695292152000,3,3
315,skip_song,1711742214000,3,4
316,join_room,1699582026000,2,10
317,skip_song,1693617775000,1,3
318,join_room,1709671115000,1,14
319,skip_song,1688540126000,3,8
320,leave_room,1696725197000,1,19
321,enqueue_song,1710480158000,2,15
322,enqueue_song,1712634535000,1,1
323,enqueue_song,1694598443000,3,11
324,skip_song,1684689938000,2,18
325,enqueue_song,1709963961000,1,13
326,skip_song,1706910832000,2,1
327,skip_song,1714672052000,3,7
